Age,Balance,CreditScore,EstimatedSalary,Exited,Gender_Female,Gender_Male,Geography_France,Geography_Germany,Geography_Spain,HasCrCard,IsActiveMember,NumOfProducts,Tenure
-0.0911415107545355,0.810844121970061,0.33786972249282327,0.4109506958241234,0,1.0,0.0,1.0,0.0,0.0,1,0,-0.9124833447877714,-0.008996311443370902
-1.0411920050686652,-1.232204179800118,-0.32499902105559053,-0.8123461922462764,0,1.0,0.0,1.0,0.0,0.0,1,0,0.8078849523234115,-0.7010202686257533
-0.47116170848018735,0.5916112213947983,0.700376066620862,-1.2051429831404925,0,0.0,1.0,0.0,0.0,1.0,1,0,0.8078849523234115,-0.008996311443370902
0.5738938352653552,1.0591935669646253,-0.35607099340942244,-0.6225079246207811,0,0.0,1.0,0.0,1.0,0.0,0,1,0.8078849523234115,-0.7010202686257533
0.09886858810829041,-1.232204179800118,1.4150314307589957,-0.2782801455051284,0,1.0,0.0,1.0,0.0,0.0,1,1,0.8078849523234115,0.33701566714782033
0.09886858810829041,0.08762827244950895,-0.6875053651836294,-0.33557764688070235,0,1.0,0.0,1.0,0.0,0.0,0,0,-0.9124833447877714,-0.35500829003456214
0.8589089835595941,0.6619692530489084,-0.08678056634287934,-0.3728942015120325,1,0.0,1.0,1.0,0.0,0.0,0,0,4.248621546545777,1.375051602921394
-0.3761566590487744,0.5959465324243337,-0.5942894481221337,-0.5039696566614906,0,0.0,1.0,1.0,0.0,0.0,1,0,-0.9124833447877714,1.375051602921394
-0.2811516096173614,0.7880989478740033,0.8453786042720776,0.5728904055109193,0,0.0,1.0,1.0,0.0,0.0,1,1,-0.9124833447877714,0.6830276457390115
0.28887868697111635,0.624256369595562,0.20322450895955171,-1.227513329819974,0,1.0,0.0,1.0,0.0,0.0,0,1,0.8078849523234115,-1.3930442258081357
-0.47116170848018735,0.540300542043533,0.72109071485675,-1.5762677898680917,0,1.0,0.0,1.0,0.0,0.0,1,1,-0.9124833447877714,0.33701566714782033
-1.0411920050686652,-1.232204179800118,-0.5528601516503578,-0.3728075573315453,0,0.0,1.0,1.0,0.0,0.0,1,1,2.528253249434594,-1.0470322472169444
-0.0911415107545355,-1.232204179800118,1.5393193201743234,-0.709845258551823,0,0.0,1.0,0.0,0.0,1.0,1,1,0.8078849523234115,-1.0470322472169444
-0.3761566590487744,-1.232204179800118,0.6278747977952543,-0.5672787708964354,0,1.0,0.0,1.0,0.0,0.0,1,1,-0.9124833447877714,1.0290396243302027
